media_id,media_type,status,status_reason,source_name,organization,title,url,thumbnail_url,thumbnail_resolution,segment,hypothesis,view_count,like_count,comment_count,like_rate_pct,comment_rate_pct,category,relevance_score,reliability_score,authenticity_score,text_summary,scraped_at
video_010_PEq9RCISj_Y,video,include,,"Brand new TATA Ultra EV buses in BEST | Zero Pollution, Silent Ride ....",Express Routes,"Brand new TATA Ultra EV buses in BEST | Zero Pollution, Silent Ride ....",https://www.youtube.com/watch?v=PEq9RCISj_Y,https://img.youtube.com/vi/PEq9RCISj_Y/maxresdefault.jpg,maxresdefault,General/OEM,H2,9769,104,28,1.065,0.287,Video - YouTube,,,80,"YouTube video: ""Brand new TATA Ultra EV buses in BEST | Zero Pollution, Silent Ride ...."" by Express Routes. Segment: General/OEM; hypothesis H2. Engagement: 9,769 views, 104 likes, 28 comments (like rate 1.065%).",2026-07-18T09:32:42.925838+00:00
video_011_3csMLe3zCJ4,video,include,,ULTRA ELECTRIC BUS TATA Marcopolo at Prawaas 2019 | Rishabh Chatterjee,Rishabh Chatterjee,ULTRA ELECTRIC BUS TATA Marcopolo at Prawaas 2019 | Rishabh Chatterjee,https://www.youtube.com/watch?v=3csMLe3zCJ4,https://img.youtube.com/vi/3csMLe3zCJ4/maxresdefault.jpg,maxresdefault,General/OEM,H2,82116,1181,62,1.438,0.076,Video - YouTube,,,80,"YouTube video: ""ULTRA ELECTRIC BUS TATA Marcopolo at Prawaas 2019 | Rishabh Chatterjee"" by Rishabh Chatterjee. Segment: General/OEM; hypothesis H2. Engagement: 82,116 views, 1,181 likes, 62 comments (like rate 1.438%).",2026-07-18T09:32:42.925838+00:00
video_012_DrpAEJ3l2O8,video,include,,How To Earn From Bus Business? 🤑 Bus Se Paisa Kaise Kamaye? 🤔,Auto Vehicle 247,How To Earn From Bus Business? 🤑 Bus Se Paisa Kaise Kamaye? 🤔,https://www.youtube.com/watch?v=DrpAEJ3l2O8,https://img.youtube.com/vi/DrpAEJ3l2O8/hqdefault.jpg,hqdefault,Employee Transport,H1,53559,879,81,1.641,0.151,Video - YouTube,,,80,"YouTube video: ""How To Earn From Bus Business? 🤑 Bus Se Paisa Kaise Kamaye? 🤔"" by Auto Vehicle 247. Segment: Employee Transport; hypothesis H1. Engagement: 53,559 views, 879 likes, 81 comments (like rate 1.641%).",2026-07-18T09:32:42.925838+00:00
video_013_HZw1l6IP6Yg,video,include,,Footage shows sheer nightmare for commuters in Mumbai's rush hour,Daily Mail World,Footage shows sheer nightmare for commuters in Mumbai's rush hour,https://www.youtube.com/watch?v=HZw1l6IP6Yg,https://img.youtube.com/vi/HZw1l6IP6Yg/hqdefault.jpg,hqdefault,Employee Transport,H1,196130,754,179,0.384,0.091,Video - YouTube,,,80,"YouTube video: ""Footage shows sheer nightmare for commuters in Mumbai's rush hour"" by Daily Mail World. Segment: Employee Transport; hypothesis H1. Engagement: 196,130 views, 754 likes, 179 comments (like rate 0.384%).",2026-07-18T09:32:42.925838+00:00
video_014_uBDk_ZbouXY,video,include,,NVS Travel Solutions launches India’s first-ever private EV bus for employee transfers,This Week India,NVS Travel Solutions launches India’s first-ever private EV bus for employee transfers,https://www.youtube.com/watch?v=uBDk_ZbouXY,https://img.youtube.com/vi/uBDk_ZbouXY/maxresdefault.jpg,maxresdefault,Employee Transport,H1,508,10,1,1.969,0.197,Video - YouTube,,,80,"YouTube video: ""NVS Travel Solutions launches India’s first-ever private EV bus for employee transfers"" by This Week India. Segment: Employee Transport; hypothesis H1. Engagement: 508 views, 10 likes, 1 comments (like rate 1.969%).",2026-07-18T09:32:42.925838+00:00
video_015_BSqYeKEk7C0,video,include,,Electric Buses Manufacturing in India | Electric Bus Factory | Sakshi TV Business,Sakshi TV Business,Electric Buses Manufacturing in India | Electric Bus Factory | Sakshi TV Business,https://www.youtube.com/watch?v=BSqYeKEk7C0,https://img.youtube.com/vi/BSqYeKEk7C0/maxresdefault.jpg,maxresdefault,Employee Transport,H1,298514,1749,31,0.586,0.01,Video - YouTube,,,80,"YouTube video: ""Electric Buses Manufacturing in India | Electric Bus Factory | Sakshi TV Business"" by Sakshi TV Business. Segment: Employee Transport; hypothesis H1. Engagement: 298,514 views, 1,749 likes, 31 comments (like rate 0.586%).",2026-07-18T09:32:42.925838+00:00
video_016_rwWpgA-TLeQ,video,include,,Electric vehicle charging station update//e v news and update//elecric bus india update//solar power,SINGH AUTO ZONE,Electric vehicle charging station update//e v news and update//elecric bus india update//solar power,https://www.youtube.com/watch?v=rwWpgA-TLeQ,https://img.youtube.com/vi/rwWpgA-TLeQ/maxresdefault.jpg,maxresdefault,General,H1,3560,252,31,7.079,0.871,Video - YouTube,,,80,"YouTube video: ""Electric vehicle charging station update//e v news and update//elecric bus india update//solar power"" by SINGH AUTO ZONE. Segment: General; hypothesis H1. Engagement: 3,560 views, 252 likes, 31 comments (like rate 7.079%).",2026-07-18T09:32:42.925838+00:00
video_017_H7XGaGc0qek,video,include,,principal of fully electric buses english,Yutong Bulgaria,principal of fully electric buses english,https://www.youtube.com/watch?v=H7XGaGc0qek,https://img.youtube.com/vi/H7XGaGc0qek/maxresdefault.jpg,maxresdefault,General,H1,237204,1947,26,0.821,0.011,Video - YouTube,,,80,"YouTube video: ""principal of fully electric buses english"" by Yutong Bulgaria. Segment: General; hypothesis H1. Engagement: 237,204 views, 1,947 likes, 26 comments (like rate 0.821%).",2026-07-18T09:32:42.925838+00:00
video_018_25gphpuRCpw,video,include,,Why India’s EV charging stations are sitting Idle | The Daily Brief Hindi,Markets by Zerodha Hindi,Why India’s EV charging stations are sitting Idle | The Daily Brief Hindi,https://www.youtube.com/watch?v=25gphpuRCpw,https://img.youtube.com/vi/25gphpuRCpw/maxresdefault.jpg,maxresdefault,General,H1,144273,2457,224,1.703,0.155,Video - YouTube,,,80,"YouTube video: ""Why India’s EV charging stations are sitting Idle | The Daily Brief Hindi"" by Markets by Zerodha Hindi. Segment: General; hypothesis H1. Engagement: 144,273 views, 2,457 likes, 224 comments (like rate 1.703%).",2026-07-18T09:32:42.925838+00:00
video_019_OlGxk4jHC2Q,video,include,,Why India Is Turning Old Vehicles Into Electric Ones,DW REV - Mobility & Innovation,Why India Is Turning Old Vehicles Into Electric Ones,https://www.youtube.com/watch?v=OlGxk4jHC2Q,https://img.youtube.com/vi/OlGxk4jHC2Q/maxresdefault.jpg,maxresdefault,General,H1,756718,7630,1000,1.008,0.132,Video - YouTube,,,80,"YouTube video: ""Why India Is Turning Old Vehicles Into Electric Ones"" by DW REV - Mobility & Innovation. Segment: General; hypothesis H1. Engagement: 756,718 views, 7,630 likes, 1,000 comments (like rate 1.008%).",2026-07-18T09:32:42.925838+00:00
video_020_ojZGlSp_k58,video,include,,Electric Bus in Delhi | JBM Group | 120km Range | Feature #electricbus,Auto Wiser,Electric Bus in Delhi | JBM Group | 120km Range | Feature #electricbus,https://www.youtube.com/watch?v=ojZGlSp_k58,https://img.youtube.com/vi/ojZGlSp_k58/maxresdefault.jpg,maxresdefault,General,H1,61101,432,35,0.707,0.057,Video - YouTube,,,80,"YouTube video: ""Electric Bus in Delhi | JBM Group | 120km Range | Feature #electricbus"" by Auto Wiser. Segment: General; hypothesis H1. Engagement: 61,101 views, 432 likes, 35 comments (like rate 0.707%).",2026-07-18T09:32:42.925838+00:00
video_021_H2WFc-Xq8ac,video,include,,What's shaking up India's Electric Bus market!?,Groww Edge,What's shaking up India's Electric Bus market!?,https://www.youtube.com/watch?v=H2WFc-Xq8ac,https://img.youtube.com/vi/H2WFc-Xq8ac/maxresdefault.jpg,maxresdefault,General,H1,333115,8240,641,2.474,0.192,Video - YouTube,,,80,"YouTube video: ""What's shaking up India's Electric Bus market!?"" by Groww Edge. Segment: General; hypothesis H1. Engagement: 333,115 views, 8,240 likes, 641 comments (like rate 2.474%).",2026-07-18T09:32:42.925838+00:00
video_022_OF7GxMGto7c,video,exclude,off-topic contamination: car alternator repair tutorial (not EV bus),7 Causes Your Car Alternator not Charging - How to Diagnose & Fix,car PROblems,7 Causes Your Car Alternator not Charging - How to Diagnose & Fix,https://www.youtube.com/watch?v=OF7GxMGto7c,https://img.youtube.com/vi/OF7GxMGto7c/maxresdefault.jpg,maxresdefault,General,H1,329934,3201,50,0.97,0.015,Video - YouTube,,,80,"YouTube video: ""7 Causes Your Car Alternator not Charging - How to Diagnose & Fix"" by car PROblems. Segment: General; hypothesis H1. Engagement: 329,934 views, 3,201 likes, 50 comments (like rate 0.97%).",2026-07-18T09:32:42.925838+00:00
video_023_pV98f_V5OYA,video,exclude,off-topic contamination: kids' battery toy jeep (not EV bus),Battery operated Jeep Charging Problem Solve | Jeep On nahi ho rahi | Electronic kids Jepp Repair,MohdAmir786,Battery operated Jeep Charging Problem Solve | Jeep On nahi ho rahi | Electronic kids Jepp Repair,https://www.youtube.com/watch?v=pV98f_V5OYA,https://img.youtube.com/vi/pV98f_V5OYA/maxresdefault.jpg,maxresdefault,General,H1,277813,1228,140,0.442,0.05,Video - YouTube,,,80,"YouTube video: ""Battery operated Jeep Charging Problem Solve | Jeep On nahi ho rahi | Electronic kids Jepp Repair"" by MohdAmir786. Segment: General; hypothesis H1. Engagement: 277,813 views, 1,228 likes, 140 comments (like rate 0.442%).",2026-07-18T09:32:42.925838+00:00
video_024_hcU6wNhzXFA,video,review,"marginal: e-scooter commute (UK), adjacent mode not bus",Riding an e-scooter to the office - Commuting with the new Pure Advance,Pure Electric,Riding an e-scooter to the office - Commuting with the new Pure Advance,https://www.youtube.com/watch?v=hcU6wNhzXFA,https://img.youtube.com/vi/hcU6wNhzXFA/maxresdefault.jpg,maxresdefault,Employee Transport,H1,45175,109,24,0.241,0.053,Video - YouTube,,,80,"YouTube video: ""Riding an e-scooter to the office - Commuting with the new Pure Advance"" by Pure Electric. Segment: Employee Transport; hypothesis H1. Engagement: 45,175 views, 109 likes, 24 comments (like rate 0.241%).",2026-07-18T09:32:42.925838+00:00
video_025_36uEDbRwVqI,video,include,,Wireless Charging Electric Bus Technology - 5 Minute 8 Miles,Electric Vehicles India,Wireless Charging Electric Bus Technology - 5 Minute 8 Miles,https://www.youtube.com/watch?v=36uEDbRwVqI,https://img.youtube.com/vi/36uEDbRwVqI/hqdefault.jpg,hqdefault,General,H1,16306,502,26,3.079,0.159,Video - YouTube,,,80,"YouTube video: ""Wireless Charging Electric Bus Technology - 5 Minute 8 Miles"" by Electric Vehicles India. Segment: General; hypothesis H1. Engagement: 16,306 views, 502 likes, 26 comments (like rate 3.079%).",2026-07-18T09:32:42.925838+00:00
video_026_yDHh3lKM6QY,video,include,,The Cityflo Experience,Cityflo,The Cityflo Experience,https://www.youtube.com/watch?v=yDHh3lKM6QY,https://img.youtube.com/vi/yDHh3lKM6QY/maxresdefault.jpg,maxresdefault,Employee Transport,H1,52604,288,33,0.547,0.063,Video - YouTube,,,80,"YouTube video: ""The Cityflo Experience"" by Cityflo. Segment: Employee Transport; hypothesis H1. Engagement: 52,604 views, 288 likes, 33 comments (like rate 0.547%).",2026-07-18T09:32:42.925838+00:00
video_027_lRuk7d7zl7w,video,include,,TATA ULTRA ELECTRIC BUS||Review #TATA_Motors,Sarlongry Engti,TATA ULTRA ELECTRIC BUS||Review #TATA_Motors,https://www.youtube.com/watch?v=lRuk7d7zl7w,https://img.youtube.com/vi/lRuk7d7zl7w/hqdefault.jpg,hqdefault,General/OEM,H2,960,17,,1.771,,Video - YouTube,,,80,"YouTube video: ""TATA ULTRA ELECTRIC BUS||Review #TATA_Motors"" by Sarlongry Engti. Segment: General/OEM; hypothesis H2. Engagement: 960 views, 17 likes (like rate 1.771%).",2026-07-18T09:32:42.925838+00:00
video_028_DY6cb37Q4fI,video,include,,NVS Travel Solutions launches India’s first-ever private EV bus for employee transfers | ElectricBus,News8 24x7,NVS Travel Solutions launches India’s first-ever private EV bus for employee transfers | ElectricBus,https://www.youtube.com/watch?v=DY6cb37Q4fI,https://img.youtube.com/vi/DY6cb37Q4fI/maxresdefault.jpg,maxresdefault,Employee Transport,H1,347,15,,4.323,,Video - YouTube,,,80,"YouTube video: ""NVS Travel Solutions launches India’s first-ever private EV bus for employee transfers | ElectricBus"" by News8 24x7. Segment: Employee Transport; hypothesis H1. Engagement: 347 views, 15 likes (like rate 4.323%).",2026-07-18T09:32:42.925838+00:00
